cpu,memory,restart,anomaly,cpu_memory_ratio
77,431,4,0,0.17865429234338748
81,426,4,0,0.19014084507042253
37,820,3,0,0.045121951219512194
18,684,0,0,0.02631578947368421
58,224,5,1,0.25892857142857145
68,758,4,0,0.08970976253298153
77,553,5,1,0.13924050632911392
24,106,1,0,0.22641509433962265
81,788,3,0,0.10279187817258884
75,730,3,0,0.10273972602739725
9,470,0,0,0.019148936170212766
9,723,5,1,0.012448132780082987
59,814,5,1,0.07248157248157248
14,942,3,0,0.014861995753715499
97,635,1,0,0.15275590551181104
97,829,2,1,0.11700844390832328
69,567,1,0,0.12169312169312169
92,292,0,0,0.3150684931506849
49,969,1,0,0.05056759545923633
43,139,5,1,0.30935251798561153
81,309,5,1,0.2621359223300971
99,661,5,1,0.14977307110438728
41,211,5,1,0.1943127962085308
58,749,3,0,0.0774365821094793
77,223,5,1,0.3452914798206278
72,684,4,0,0.10526315789473684
96,697,3,0,0.13773314203730272
74,515,3,0,0.1436893203883495
32,187,4,0,0.1711229946524064
58,362,1,0,0.16022099447513813
48,516,2,0,0.09302325581395349
83,480,3,0,0.17291666666666666
96,655,1,0,0.1465648854961832
93,893,2,1,0.10414333706606943
86,263,4,0,0.3269961977186312
23,809,1,0,0.02843016069221261
92,716,2,0,0.12849162011173185
24,152,5,1,0.15789473684210525
6,237,0,0,0.02531645569620253
87,866,1,0,0.10046189376443418
67,831,0,0,0.08062575210589651
98,691,5,1,0.14182344428364688
90,925,4,0,0.0972972972972973
12,507,4,0,0.023668639053254437
10,399,4,0,0.02506265664160401
100,378,2,0,0.26455026455026454
83,816,5,1,0.1017156862745098
5,427,5,1,0.0117096018735363
73,323,0,0,0.2260061919504644
35,237,4,0,0.14767932489451477
17,642,2,0,0.0264797507788162
32,684,5,1,0.04678362573099415
74,278,4,0,0.26618705035971224
7,350,4,0,0.02
83,103,5,1,0.8058252427184466
54,449,1,0,0.12026726057906459
50,917,3,0,0.05452562704471101
62,467,1,0,0.13276231263383298
95,259,5,1,0.3667953667953668
84,186,1,0,0.45161290322580644
76,924,4,0,0.08225108225108226
15,404,0,0,0.03712871287128713
80,717,4,0,0.11157601115760112
70,693,0,0,0.10101010101010101
96,112,2,0,0.8571428571428571
24,969,1,0,0.02476780185758514
51,437,0,0,0.11670480549199085
11,668,0,0,0.016467065868263474
100,239,3,0,0.41841004184100417
44,485,2,0,0.09072164948453608
77,899,0,0,0.08565072302558398
75,783,2,0,0.09578544061302682
48,768,5,1,0.0625
51,660,0,0,0.07727272727272727
71,433,5,1,0.16397228637413394
54,104,5,1,0.5192307692307693
10,166,4,0,0.060240963855421686
63,452,2,0,0.13938053097345132
26,258,1,0,0.10077519379844961
28,703,4,0,0.03982930298719772
57,374,5,1,0.15240641711229946
95,198,1,0,0.4797979797979798
61,507,5,1,0.1203155818540434
50,400,3,0,0.125
50,789,3,0,0.06337135614702155
26,284,1,0,0.09154929577464789
66,709,5,1,0.0930888575458392
56,866,5,1,0.06466512702078522
79,736,0,0,0.10733695652173914
35,896,3,0,0.0390625
49,907,5,1,0.05402425578831312
60,683,5,1,0.08784773060029283
50,995,4,0,0.05025125628140704
86,672,4,0,0.12797619047619047
40,522,3,0,0.07662835249042145
77,300,5,1,0.25666666666666665
50,183,3,0,0.273224043715847
95,769,4,0,0.1235370611183355
23,539,1,0,0.04267161410018553
57,545,1,0,0.10458715596330276
67,471,3,0,0.14225053078556263
31,639,0,0,0.048513302034428794
47,647,4,0,0.07264296754250386
54,344,2,0,0.1569767441860465
39,980,4,0,0.03979591836734694
6,225,0,0,0.02666666666666667
37,526,5,1,0.07034220532319392
57,770,2,0,0.07402597402597402
41,541,4,0,0.07578558225508318
29,156,4,0,0.1858974358974359
17,682,5,1,0.024926686217008796
92,767,0,0,0.11994784876140809
92,877,2,1,0.10490307867730901
100,293,0,0,0.3412969283276451
97,644,4,0,0.15062111801242237
13,149,0,0,0.087248322147651
99,298,0,0,0.33221476510067116
100,458,1,0,0.2183406113537118
82,817,5,1,0.1003671970624235
54,370,2,0,0.14594594594594595
56,458,0,0,0.1222707423580786
24,366,4,0,0.06557377049180328
77,816,4,0,0.09436274509803921
34,841,3,0,0.04042806183115339
84,213,4,0,0.39436619718309857
70,676,5,1,0.10355029585798817
30,813,0,0,0.03690036900369004
7,229,1,0,0.03056768558951965
43,883,2,0,0.04869762174405436
63,620,4,0,0.10161290322580645
87,575,4,0,0.15130434782608695
31,472,3,0,0.06567796610169492
63,424,1,0,0.14858490566037735
97,449,0,0,0.21603563474387527
34,836,2,0,0.04066985645933014
87,439,3,0,0.19817767653758542
44,945,0,0,0.04656084656084656
48,197,5,1,0.2436548223350254
73,320,1,0,0.228125
85,357,5,1,0.23809523809523808
59,705,1,0,0.08368794326241134
37,879,2,0,0.04209328782707622
53,967,1,0,0.05480868665977249
25,336,0,0,0.0744047619047619
100,367,2,0,0.2724795640326976
61,155,0,0,0.3935483870967742
28,411,3,0,0.0681265206812652
100,453,3,0,0.22075055187637968
8,248,5,1,0.03225806451612903
90,570,1,0,0.15789473684210525
65,563,5,1,0.11545293072824156
100,574,4,0,0.17421602787456447
82,269,4,0,0.3048327137546468
6,280,5,1,0.02142857142857143
66,798,3,0,0.08270676691729323
8,526,0,0,0.015209125475285171
14,356,5,1,0.03932584269662921
83,114,4,0,0.7280701754385965
25,505,2,0,0.04950495049504951
58,509,0,0,0.11394891944990176
11,378,5,1,0.0291005291005291
92,380,5,1,0.24210526315789474
51,948,1,0,0.05379746835443038
32,751,3,0,0.0426098535286285
27,406,4,0,0.0665024630541872
89,409,4,0,0.2176039119804401
83,349,0,0,0.23782234957020057
25,994,2,0,0.025150905432595575
51,487,2,0,0.10472279260780287
72,448,1,0,0.16071428571428573
86,884,2,0,0.09728506787330317
55,428,4,0,0.12850467289719625
99,585,0,0,0.16923076923076924
75,126,0,0,0.5952380952380952
97,722,4,0,0.13434903047091412
64,923,1,0,0.06933911159263272
15,295,5,1,0.05084745762711865
72,533,0,0,0.1350844277673546
43,907,0,0,0.047409040793825796
73,722,3,0,0.10110803324099724
23,384,0,0,0.059895833333333336
54,146,5,1,0.3698630136986301
22,256,2,0,0.0859375
61,827,1,0,0.07376058041112454
37,558,3,0,0.06630824372759857
65,905,2,0,0.0718232044198895
31,780,1,0,0.03974358974358974
10,768,1,0,0.013020833333333334
97,967,5,1,0.10031023784901758
9,281,0,0,0.03202846975088968
12,461,3,0,0.026030368763557483
37,468,2,0,0.07905982905982906
22,193,4,0,0.11398963730569948
66,711,4,0,0.09282700421940929
7,471,2,0,0.014861995753715499
42,723,0,0,0.058091286307053944
54,950,1,0,0.056842105263157895
88,127,3,0,0.6929133858267716
23,285,4,0,0.08070175438596491
18,477,3,0,0.03773584905660377
39,182,5,1,0.21428571428571427
100,962,1,1,0.10395010395010396
46,484,5,1,0.09504132231404959
47,564,4,0,0.08333333333333333
30,486,1,0,0.06172839506172839
28,576,0,0,0.04861111111111111
72,471,5,1,0.15286624203821655
79,735,1,0,0.10748299319727891
54,807,2,0,0.06691449814126393
58,720,4,0,0.08055555555555556
93,678,1,0,0.13716814159292035
24,488,1,0,0.04918032786885246
36,549,4,0,0.06557377049180328
94,693,3,0,0.13564213564213565
53,994,2,0,0.05331991951710262
83,929,5,1,0.08934337997847147
90,978,2,0,0.09202453987730061
52,761,0,0,0.0683311432325887
27,829,2,0,0.032569360675512665
21,723,1,0,0.029045643153526972
87,135,2,0,0.6444444444444445
17,465,4,0,0.03655913978494624
17,102,1,0,0.16666666666666666
49,263,0,0,0.18631178707224336
61,186,5,1,0.3279569892473118
26,833,4,0,0.031212484993997598
44,557,3,0,0.07899461400359066
78,601,2,0,0.129783693843594
79,109,3,0,0.7247706422018348
6,577,5,1,0.010398613518197574
53,558,5,1,0.09498207885304659
54,698,4,0,0.07736389684813753
69,909,4,0,0.07590759075907591
9,703,2,0,0.012802275960170697
76,480,5,1,0.15833333333333333
84,379,5,1,0.22163588390501318
72,466,3,0,0.15450643776824036
95,896,4,1,0.10602678571428571
100,422,1,0,0.23696682464454977
55,953,2,0,0.05771248688352571
16,224,1,0,0.07142857142857142
48,966,3,0,0.049689440993788817
19,442,5,1,0.042986425339366516
37,907,5,1,0.040793825799338476
50,476,1,0,0.10504201680672269
60,478,5,1,0.12552301255230125
39,824,2,0,0.04733009708737864
9,860,0,0,0.010465116279069767
11,607,1,0,0.018121911037891267
44,918,5,1,0.04793028322440087
56,832,5,1,0.0673076923076923
16,952,1,0,0.01680672268907563
19,983,1,0,0.019328585961342827
9,775,5,1,0.011612903225806452
29,235,5,1,0.12340425531914893
93,360,3,0,0.25833333333333336
41,288,3,0,0.1423611111111111
6,255,4,0,0.023529411764705882
12,250,3,0,0.048
76,726,2,0,0.1046831955922865
54,195,5,1,0.27692307692307694
15,697,5,1,0.021520803443328552
36,587,4,0,0.06132879045996593
83,321,4,0,0.2585669781931464
37,379,2,0,0.09762532981530343
35,840,3,0,0.041666666666666664
21,643,5,1,0.03265940902021773
95,440,4,0,0.2159090909090909
87,355,1,0,0.24507042253521127
77,187,0,0,0.4117647058823529
24,931,3,0,0.02577873254564984
46,786,1,0,0.058524173027989825
70,800,2,0,0.0875
71,610,1,0,0.11639344262295082
7,783,5,1,0.008939974457215836
35,954,1,0,0.03668763102725367
99,147,5,1,0.673469387755102
12,695,1,0,0.017266187050359712
25,866,0,0,0.028868360277136258
9,518,4,0,0.017374517374517374
51,918,2,0,0.05555555555555555
45,790,2,0,0.056962025316455694
18,462,3,0,0.03896103896103896
83,239,5,1,0.3472803347280335
77,745,5,1,0.10335570469798658
50,714,2,0,0.0700280112044818
8,899,5,1,0.008898776418242492
96,382,1,0,0.2513089005235602
56,415,0,0,0.13493975903614458
71,299,4,0,0.23745819397993312
56,286,3,0,0.1958041958041958
82,878,1,0,0.09339407744874716
48,679,0,0,0.07069219440353461
37,181,2,0,0.20441988950276244
70,898,4,0,0.0779510022271715
52,994,5,1,0.052313883299798795
48,510,4,0,0.09411764705882353
37,399,0,0,0.09273182957393483
14,871,4,0,0.016073478760045924
81,362,2,0,0.22375690607734808
25,373,1,0,0.06702412868632708
84,681,3,0,0.12334801762114538
41,455,5,1,0.09010989010989011
88,734,3,0,0.11989100817438691
67,736,3,0,0.09103260869565218
57,841,4,0,0.06777645659928656
80,713,1,0,0.11220196353436185
9,940,3,0,0.009574468085106383
50,833,3,0,0.060024009603841535
31,330,0,0,0.09393939393939393
50,703,2,0,0.07112375533428165
38,812,2,0,0.046798029556650245
54,879,5,1,0.06143344709897611
48,396,5,1,0.12121212121212122
31,500,3,0,0.062
55,106,3,0,0.5188679245283019
30,978,2,0,0.03067484662576687
14,620,3,0,0.02258064516129032
48,549,4,0,0.08743169398907104
75,990,5,1,0.07575757575757576
30,198,1,0,0.15151515151515152
41,556,2,0,0.0737410071942446
44,587,3,0,0.07495741056218058
63,230,1,0,0.27391304347826084
86,594,1,0,0.1447811447811448
63,874,4,0,0.07208237986270023
32,649,4,0,0.04930662557781202
93,285,0,0,0.3263157894736842
43,346,2,0,0.12427745664739884
21,463,5,1,0.04535637149028078
22,549,0,0,0.04007285974499089
18,985,2,0,0.018274111675126905
41,547,1,0,0.07495429616087751
9,221,5,1,0.04072398190045249
32,697,2,0,0.04591104734576758
50,190,4,0,0.2631578947368421
8,839,4,0,0.009535160905840286
46,601,4,0,0.07653910149750416
70,659,2,0,0.1062215477996965
62,558,2,0,0.1111111111111111
72,828,3,0,0.08695652173913043
61,129,2,0,0.4728682170542636
80,278,3,0,0.28776978417266186
58,162,5,1,0.35802469135802467
43,153,2,0,0.28104575163398693
72,697,4,0,0.10329985652797705
59,878,1,0,0.06719817767653759
97,426,2,0,0.22769953051643194
15,723,1,0,0.02074688796680498
14,890,3,0,0.015730337078651686
57,950,2,0,0.06
64,206,2,0,0.3106796116504854
63,754,4,0,0.08355437665782493
15,528,0,0,0.028409090909090908
94,303,3,0,0.3102310231023102
68,648,2,0,0.10493827160493827
31,786,2,0,0.039440203562340966
69,867,3,0,0.07958477508650519
22,819,0,0,0.026862026862026864
38,843,3,0,0.045077105575326216
11,689,4,0,0.015965166908563134
95,441,1,0,0.21541950113378686
71,160,0,0,0.44375
18,981,3,0,0.01834862385321101
60,851,5,1,0.07050528789659224
66,947,0,0,0.06969376979936642
63,311,1,0,0.20257234726688103
23,444,0,0,0.0518018018018018
75,344,3,0,0.2180232558139535
67,249,2,0,0.26907630522088355
19,539,3,0,0.03525046382189239
88,902,4,0,0.0975609756097561
7,630,1,0,0.011111111111111112
56,236,2,0,0.23728813559322035
9,315,0,0,0.02857142857142857
94,906,2,1,0.10375275938189846
71,942,2,0,0.07537154989384288
41,394,3,0,0.10406091370558376
51,321,4,0,0.1588785046728972
66,928,3,0,0.07112068965517242
19,152,1,0,0.125
83,283,5,1,0.29328621908127206
59,799,2,0,0.07384230287859825
95,529,5,1,0.17958412098298676
44,291,1,0,0.15120274914089346
87,848,4,0,0.10259433962264151
83,885,0,0,0.09378531073446328
27,799,4,0,0.03379224030037547
83,333,5,1,0.24924924924924924
57,677,4,0,0.08419497784342689
64,547,0,0,0.1170018281535649
48,553,1,0,0.0867992766726944
66,648,5,1,0.10185185185185185
92,678,5,1,0.13569321533923304
73,183,5,1,0.3989071038251366
96,108,5,1,0.8888888888888888
41,247,5,1,0.1659919028340081
73,823,4,0,0.08869987849331713
61,111,1,0,0.5495495495495496
24,493,5,1,0.0486815415821501
32,811,2,0,0.03945745992601726
70,309,5,1,0.22653721682847897
55,551,2,0,0.0998185117967332
53,823,5,1,0.06439854191980558
85,329,0,0,0.25835866261398177
12,304,0,0,0.039473684210526314
6,528,3,0,0.011363636363636364
16,146,4,0,0.1095890410958904
39,831,4,0,0.04693140794223827
22,769,1,0,0.02860858257477243
54,441,4,0,0.12244897959183673
82,978,0,0,0.08384458077709611
12,227,5,1,0.05286343612334802
8,150,3,0,0.05333333333333334
18,468,5,1,0.038461538461538464
7,450,4,0,0.015555555555555555
93,518,5,1,0.17953667953667954
30,101,4,0,0.297029702970297
51,957,2,0,0.05329153605015674
20,544,1,0,0.03676470588235294
54,336,3,0,0.16071428571428573
82,555,2,0,0.14774774774774774
44,740,3,0,0.05945945945945946
37,448,5,1,0.08258928571428571
46,459,4,0,0.10021786492374728
68,787,5,1,0.08640406607369759
95,942,0,1,0.10084925690021232
86,758,3,0,0.11345646437994723
96,854,0,1,0.11241217798594848
56,386,3,0,0.14507772020725387
31,748,5,1,0.04144385026737968
48,942,4,0,0.050955414012738856
77,598,0,0,0.12876254180602006
27,211,0,0,0.12796208530805686
32,669,3,0,0.04783258594917788
28,851,5,1,0.03290246768507638
53,361,5,1,0.14681440443213298
38,333,4,0,0.11411411411411411
66,319,2,0,0.20689655172413793
74,519,0,0,0.14258188824662812
87,923,4,0,0.09425785482123511
71,348,1,0,0.20402298850574713
25,142,1,0,0.176056338028169
81,627,2,0,0.1291866028708134
50,153,2,0,0.32679738562091504
18,192,4,0,0.09375
72,371,3,0,0.1940700808625337
91,994,5,1,0.09154929577464789
45,504,0,0,0.08928571428571429
55,1000,1,0,0.055
24,520,4,0,0.046153846153846156
15,576,5,1,0.026041666666666668
53,293,4,0,0.18088737201365188
60,934,1,0,0.06423982869379015
63,530,2,0,0.11886792452830189
31,635,1,0,0.048818897637795275
42,205,1,0,0.2048780487804878
27,632,4,0,0.04272151898734177
27,253,0,0,0.1067193675889328
66,174,2,0,0.3793103448275862
60,550,0,0,0.10909090909090909
87,852,3,0,0.10211267605633803
71,630,2,0,0.1126984126984127
62,672,5,1,0.09226190476190477
67,239,5,1,0.2803347280334728
96,240,3,0,0.4
99,234,0,0,0.4230769230769231
75,298,1,0,0.2516778523489933
90,193,3,0,0.46632124352331605
75,283,4,0,0.26501766784452296
16,489,2,0,0.032719836400818
85,819,0,0,0.10378510378510379
80,909,3,0,0.08800880088008801
81,123,3,0,0.6585365853658537
80,443,4,0,0.18058690744920994
96,887,2,1,0.10822998872604284
31,219,4,0,0.1415525114155251
94,383,4,0,0.2454308093994778
91,214,2,0,0.4252336448598131
57,395,2,0,0.14430379746835442
59,871,2,0,0.0677382319173364
70,702,3,0,0.09971509971509972
46,246,3,0,0.18699186991869918
94,860,3,1,0.10930232558139535
45,961,3,0,0.046826222684703434
58,279,4,0,0.2078853046594982
33,193,0,0,0.17098445595854922
55,259,4,0,0.21235521235521235
73,868,3,0,0.08410138248847926
86,929,4,0,0.09257265877287406
84,467,5,1,0.17987152034261242
41,673,0,0,0.06092124814264487
94,795,5,1,0.11823899371069183
92,461,3,0,0.19956616052060738
82,968,3,0,0.08471074380165289
92,147,2,0,0.6258503401360545
20,266,3,0,0.07518796992481203
51,875,5,1,0.05828571428571429
16,350,4,0,0.045714285714285714
8,383,1,0,0.020887728459530026
92,378,5,1,0.24338624338624337
51,808,5,1,0.06311881188118812
96,555,1,0,0.17297297297297298
15,131,3,0,0.11450381679389313
29,915,1,0,0.03169398907103825
11,944,3,0,0.011652542372881356
56,307,0,0,0.18241042345276873
70,630,4,0,0.1111111111111111
5,829,0,0,0.006031363088057901
91,460,4,0,0.19782608695652174
75,729,0,0,0.102880658436214
95,688,5,1,0.1380813953488372
17,876,4,0,0.019406392694063926
34,551,4,0,0.06170598911070781
89,874,3,0,0.10183066361556065
16,837,5,1,0.019115890083632018
42,126,1,0,0.3333333333333333
20,242,1,0,0.08264462809917356
7,552,0,0,0.012681159420289856
